文件路径,正则表达式
D:\skyrat\Skyrat-tg-master\code\datums\browser.dm,"(?<=name = "").*(?="")","/datum/browser/proc/add_stylesheet(name, file)"
D:\skyrat\Skyrat-tg-master\code\datums\browser.dm,"(?<=name = "").*(?="")",/client/verb/windowclose(atomref as text)
D:\skyrat\Skyrat-tg-master\code\datums\dash_weapon.dm,"(?<=name = "").*(?="")",/datum/action/innate/dash
D:\skyrat\Skyrat-tg-master\code\datums\dash_weapon.dm,"(?<=desc = "").*(?="")",/datum/action/innate/dash
D:\skyrat\Skyrat-tg-master\code\datums\datacore.dm,"(?<=name = "").*(?="")",/datum/data
D:\skyrat\Skyrat-tg-master\code\datums\datacore.dm,"(?<=name = "").*(?="")",/datum/data/record
D:\skyrat\Skyrat-tg-master\code\datums\datacore.dm,"(?<=name = "").*(?="")","/datum/data/record/proc/get_photo(field_name, orientation)"
D:\skyrat\Skyrat-tg-master\code\datums\datacore.dm,"(?<=desc = "").*(?="")","/datum/data/record/proc/get_photo(field_name, orientation)"
D:\skyrat\Skyrat-tg-master\code\datums\datacore.dm,"(?<=name = "").*(?="")",/datum/data/crime
D:\skyrat\Skyrat-tg-master\code\datums\datacore.dm,"(?<=name = "").*(?="")","/datum/datacore/proc/createCrimeEntry(cname = """", cdetails = """", author = """", time = """", fine = 0)"
D:\skyrat\Skyrat-tg-master\code\datums\dog_fashion.dm,"(?<=name = "").*(?="")",/datum/dog_fashion/head/helmet
D:\skyrat\Skyrat-tg-master\code\datums\dog_fashion.dm,"(?<=desc = "").*(?="")",/datum/dog_fashion/head/helmet
D:\skyrat\Skyrat-tg-master\code\datums\dog_fashion.dm,"(?<=name = "").*(?="")",/datum/dog_fashion/head/chef
D:\skyrat\Skyrat-tg-master\code\datums\dog_fashion.dm,"(?<=desc = "").*(?="")",/datum/dog_fashion/head/chef
D:\skyrat\Skyrat-tg-master\code\datums\dog_fashion.dm,"(?<=name = "").*(?="")",/datum/dog_fashion/head/captain
D:\skyrat\Skyrat-tg-master\code\datums\dog_fashion.dm,"(?<=desc = "").*(?="")",/datum/dog_fashion/head/captain
D:\skyrat\Skyrat-tg-master\code\datums\dog_fashion.dm,"(?<=name = "").*(?="")",/datum/dog_fashion/head/kitty
D:\skyrat\Skyrat-tg-master\code\datums\dog_fashion.dm,"(?<=desc = "").*(?="")",/datum/dog_fashion/head/kitty
D:\skyrat\Skyrat-tg-master\code\datums\dog_fashion.dm,"(?<=name = "").*(?="")",/datum/dog_fashion/head/rabbit
D:\skyrat\Skyrat-tg-master\code\datums\dog_fashion.dm,"(?<=desc = "").*(?="")",/datum/dog_fashion/head/rabbit
D:\skyrat\Skyrat-tg-master\code\datums\dog_fashion.dm,"(?<=name = "").*(?="")",/datum/dog_fashion/head/beret
D:\skyrat\Skyrat-tg-master\code\datums\dog_fashion.dm,"(?<=desc = "").*(?="")",/datum/dog_fashion/head/beret
D:\skyrat\Skyrat-tg-master\code\datums\dog_fashion.dm,"(?<=name = "").*(?="")",/datum/dog_fashion/head/detective
D:\skyrat\Skyrat-tg-master\code\datums\dog_fashion.dm,"(?<=desc = "").*(?="")",/datum/dog_fashion/head/detective
D:\skyrat\Skyrat-tg-master\code\datums\dog_fashion.dm,"(?<=name = "").*(?="")",/datum/dog_fashion/head/nurse
D:\skyrat\Skyrat-tg-master\code\datums\dog_fashion.dm,"(?<=desc = "").*(?="")",/datum/dog_fashion/head/nurse
D:\skyrat\Skyrat-tg-master\code\datums\dog_fashion.dm,"(?<=name = "").*(?="")",/datum/dog_fashion/head/pirate
D:\skyrat\Skyrat-tg-master\code\datums\dog_fashion.dm,"(?<=desc = "").*(?="")",/datum/dog_fashion/head/pirate
D:\skyrat\Skyrat-tg-master\code\datums\dog_fashion.dm,"(?<=name = "").*(?="")",/datum/dog_fashion/head/pirate/New(mob/M)
D:\skyrat\Skyrat-tg-master\code\datums\dog_fashion.dm,"(?<=name = "").*(?="")",/datum/dog_fashion/head/ushanka
D:\skyrat\Skyrat-tg-master\code\datums\dog_fashion.dm,"(?<=desc = "").*(?="")",/datum/dog_fashion/head/ushanka
D:\skyrat\Skyrat-tg-master\code\datums\dog_fashion.dm,"(?<=name = "").*(?="")",/datum/dog_fashion/head/ushanka/New(mob/M)
D:\skyrat\Skyrat-tg-master\code\datums\dog_fashion.dm,"(?<=name = "").*(?="")",/datum/dog_fashion/head/warden
D:\skyrat\Skyrat-tg-master\code\datums\dog_fashion.dm,"(?<=desc = "").*(?="")",/datum/dog_fashion/head/warden
D:\skyrat\Skyrat-tg-master\code\datums\dog_fashion.dm,"(?<=name = "").*(?="")",/datum/dog_fashion/head/warden_red
D:\skyrat\Skyrat-tg-master\code\datums\dog_fashion.dm,"(?<=desc = "").*(?="")",/datum/dog_fashion/head/warden_red
D:\skyrat\Skyrat-tg-master\code\datums\dog_fashion.dm,"(?<=name = "").*(?="")",/datum/dog_fashion/head/blue_wizard
D:\skyrat\Skyrat-tg-master\code\datums\dog_fashion.dm,"(?<=name = "").*(?="")",/datum/dog_fashion/head/red_wizard
D:\skyrat\Skyrat-tg-master\code\datums\dog_fashion.dm,"(?<=name = "").*(?="")",/datum/dog_fashion/head/cardborg
D:\skyrat\Skyrat-tg-master\code\datums\dog_fashion.dm,"(?<=desc = "").*(?="")",/datum/dog_fashion/head/cardborg
D:\skyrat\Skyrat-tg-master\code\datums\dog_fashion.dm,"(?<=name = "".improper ).*(?="")",/datum/dog_fashion/head/ghost
D:\skyrat\Skyrat-tg-master\code\datums\dog_fashion.dm,"(?<=desc = "").*(?="")",/datum/dog_fashion/head/ghost
D:\skyrat\Skyrat-tg-master\code\datums\dog_fashion.dm,"(?<=name = "").*(?="")",/datum/dog_fashion/head/santa
D:\skyrat\Skyrat-tg-master\code\datums\dog_fashion.dm,"(?<=desc = "").*(?="")",/datum/dog_fashion/head/santa
D:\skyrat\Skyrat-tg-master\code\datums\dog_fashion.dm,"(?<=name = "").*(?="")",/datum/dog_fashion/head/cargo_tech
D:\skyrat\Skyrat-tg-master\code\datums\dog_fashion.dm,"(?<=desc = "").*(?="")",/datum/dog_fashion/head/cargo_tech
D:\skyrat\Skyrat-tg-master\code\datums\dog_fashion.dm,"(?<=name = "").*(?="")",/datum/dog_fashion/head/reindeer
D:\skyrat\Skyrat-tg-master\code\datums\dog_fashion.dm,"(?<=desc = "").*(?="")",/datum/dog_fashion/head/reindeer
D:\skyrat\Skyrat-tg-master\code\datums\dog_fashion.dm,"(?<=name = "").*(?="")",/datum/dog_fashion/head/sombrero
D:\skyrat\Skyrat-tg-master\code\datums\dog_fashion.dm,"(?<=desc = "").*(?="")",/datum/dog_fashion/head/sombrero
D:\skyrat\Skyrat-tg-master\code\datums\dog_fashion.dm,"(?<=desc = "").*(?="")",/datum/dog_fashion/head/sombrero/New(mob/M)
D:\skyrat\Skyrat-tg-master\code\datums\dog_fashion.dm,"(?<=name = "").*(?="")",/datum/dog_fashion/head/hop
