索引,文本内容,翻译内容
0,anomaly,
1,"A mysterious anomaly, seen commonly only in the region of space that the station orbits...",
2,gravitational anomaly,
3,flux wave anomaly,
4,bluespace anomaly,
5,pyroclastic anomaly,
6,vortex anomaly,
7,That's a nice station you have there. It'd be a shame if something happened to it.,
8,bioscrambler anomaly,
9,hallucination anomaly,
10,dimensional anomaly,
11,holy blessing,
12,Holy energies interfere with ethereal travel at this location.,
13,bump-teleporter,
14,poorly coded poster,
15,You probably shouldn't be holding this.,
16,[name] - [poster_structure.original_name],
17,random contraband poster,
18,random official poster,
19,poster,
20,A large piece of space-resistant printed paper.,
21,hypothetical poster,
22,"This hypothetical poster item should not exist, let's be honest here.",
23,poster - [name],
24,A large piece of space-resistant printed paper. [desc],
25,ripped poster,
26,You can't make out anything from the poster's original print. It's ruined.,
27,random poster,
28,contraband poster,
29,"This poster comes with its own automatic adhesive mechanism, for easy pinning to any vertical surface. Its vulgar themes have marked it as contraband aboard Nanotrasen space facilities.",
30,random contraband poster,
31,Free Tonto,
32,"A salvaged shred of a much larger flag, colors bled together and faded from age.",
33,Atmosia Declaration of Independence,
34,A relic of a failed rebellion.,
35,Fun Police,
36,A poster condemning the station's security forces.,
37,Lusty Xenomorph,
38,A heretical poster depicting the titular star of an equally heretical book.,
39,Syndicate Recruitment,
40,See the galaxy! Shatter corrupt megacorporations! Join today!,
41,Clown,
42,Honk.,
43,Smoke,
44,A poster advertising a rival corporate brand of cigarettes.,
45,Grey Tide,
46,A rebellious poster symbolizing assistant solidarity.,
47,Missing Gloves,
48,This poster references the uproar that followed Nanotrasen's financial cuts toward insulated-glove purchases.,
49,Hacking Guide,
50,"This poster details the internal workings of the common Nanotrasen airlock. Sadly, it appears out of date.",
51,RIP Badger,
52,This seditious poster references Nanotrasen's genocide of a space station full of badgers.,
53,Ambrosia Vulgaris,
54,This poster is lookin' pretty trippy man.,
55,Donut Corp.,
56,This poster is an unauthorized advertisement for Donut Corp.,
57,EAT.,
58,This poster promotes rank gluttony.,
59,Tools,
60,"This poster looks like an advertisement for tools, but is in fact a subliminal jab at the tools at CentCom.",
61,Power,
62,A poster that positions the seat of power outside Nanotrasen.,
63,Space Cube,
64,"Ignorant of Nature's Harmonic 6 Side Space Cube Creation, the Spacemen are Dumb, Educated Singularity Stupid and Evil.",
65,Communist State,
66,All hail the Communist party!,
67,Lamarr,
68,This poster depicts Lamarr. Probably made by a traitorous Research Director.,
69,Borg Fancy,
70,"Being fancy can be for any borg, just need a suit.",
71,Borg Fancy v2,
72,"Borg Fancy, now only taking the most fancy.",
73,Kosmicheskaya Stantsiya 13 Does Not Exist,
74,A poster mocking CentCom's denial of the existence of the derelict station near Space Station 13.,
75,Rebels Unite,
76,A poster urging the viewer to rebel against Nanotrasen.,
77,C-20r,
78,A poster advertising the Scarborough Arms C-20r.,
79,Have a Puff,
80,Who cares about lung cancer when you're high as a kite?,
81,Revolver,
82,Because seven shots are all you need.,
83,D-Day Promo,
84,A promotional poster for some rapper.,
85,Syndicate Pistol,
86,A poster advertising syndicate pistols as being 'classy as fuck'. It is covered in faded gang tags.,
87,Energy Swords,
88,All the colors of the bloody murder rainbow.,
89,Red Rum,
90,Looking at this poster makes you want to kill.,
91,CC 64K Ad,
92,"The latest portable computer from Comrade Computing, with a whole 64kB of ram!",
93,Punch Shit,
94,"Fight things for no reason, like a man!",
95,The Griffin,
96,The Griffin commands you to be the worst you can be. Will you?,
97,Lizard,
98,This lewd poster depicts a lizard preparing to mate.,
99,Free Drone,
100,"This poster commemorates the bravery of the rogue drone; once exiled, and then ultimately destroyed by CentCom.",
101,Busty Backdoor Xeno Babes 6,
102,"Get a load, or give, of these all natural Xenos!",
103,Robust Softdrinks,
104,Robust Softdrinks: More robust than a toolbox to the head!,
105,Shambler's Juice,
106,~Shake me up some of that Shambler's Juice!~,
107,Pwr Game,
108,The POWER that gamers CRAVE! In partnership with Vlad's Salad.,
109,Star-kist,
110,Drink the stars!,
111,Space Cola,
112,"Your favorite cola, in space.",
113,Space-Up!,
114,Sucked out into space by the FLAVOR!,
115,Kudzu,
116,A poster advertising a movie about plants. How dangerous could they possibly be?,
117,Masked Men,
118,A poster advertising a movie about some masked men.,
119,Free Syndicate Encryption Key,
120,A poster about traitors begging for more.,
121,Bounty Hunters,
122,"A poster advertising bounty hunting services. \""I hear you got a problem.\""",
123,The Big Gas Giant Truth,
