文件路径,正则表达式
D:\skyrat\Skyrat-tg-master\code\game\objects\items\airlock_painter.dm,"(?<=name = "").*(?="")",/obj/item/airlock_painter
D:\skyrat\Skyrat-tg-master\code\game\objects\items\airlock_painter.dm,"(?<=desc = "").*(?="")",/obj/item/airlock_painter
D:\skyrat\Skyrat-tg-master\code\game\objects\items\airlock_painter.dm,"(?<=name = "").*(?="")",/obj/item/airlock_painter/decal
D:\skyrat\Skyrat-tg-master\code\game\objects\items\airlock_painter.dm,"(?<=desc = "").*(?="")",/obj/item/airlock_painter/decal
D:\skyrat\Skyrat-tg-master\code\game\objects\items\airlock_painter.dm,"(?<=name = "").*(?="")",/datum/asset/spritesheet/decals
D:\skyrat\Skyrat-tg-master\code\game\objects\items\airlock_painter.dm,"(?<=name = "").*(?="")",/obj/item/airlock_painter/decal/debug
D:\skyrat\Skyrat-tg-master\code\game\objects\items\airlock_painter.dm,"(?<=name = "").*(?="")",/obj/item/airlock_painter/decal/tile
D:\skyrat\Skyrat-tg-master\code\game\objects\items\airlock_painter.dm,"(?<=desc = "").*(?="")",/obj/item/airlock_painter/decal/tile
D:\skyrat\Skyrat-tg-master\code\game\objects\items\airlock_painter.dm,"(?<=name = "").*(?="")",/datum/asset/spritesheet/decals/tiles
D:\skyrat\Skyrat-tg-master\code\game\objects\items\apc_frame.dm,"(?<=name = "".improper ).*(?="")",/obj/item/wallframe/apc
D:\skyrat\Skyrat-tg-master\code\game\objects\items\apc_frame.dm,"(?<=desc = "").*(?="")",/obj/item/wallframe/apc
D:\skyrat\Skyrat-tg-master\code\game\objects\items\binoculars.dm,"(?<=name = "").*(?="")",/obj/item/binoculars
D:\skyrat\Skyrat-tg-master\code\game\objects\items\binoculars.dm,"(?<=desc = "").*(?="")",/obj/item/binoculars
D:\skyrat\Skyrat-tg-master\code\game\objects\items\blueprints.dm,"(?<=name = "").*(?="")",/obj/item/areaeditor
D:\skyrat\Skyrat-tg-master\code\game\objects\items\blueprints.dm,"(?<=name = "").*(?="")",/obj/item/areaeditor/blueprints
