文件路径,正则表达式
D:\skyrat\Skyrat-tg-master\code\game\atoms.dm,"(?<=span_warning."").*(?="".)",/atom/proc/examine(mob/user)
D:\skyrat\Skyrat-tg-master\code\game\atoms.dm,"(?<=span_notice."").*(?="".)",/atom/proc/examine(mob/user)
D:\skyrat\Skyrat-tg-master\code\game\atoms.dm,"(?<=span_notice."").*(?="".)",/atom/proc/examine(mob/user)
D:\skyrat\Skyrat-tg-master\code\game\atoms.dm,"(?<=span_danger."").*(?="")",/atom/proc/examine(mob/user)
D:\skyrat\Skyrat-tg-master\code\game\atoms.dm,"(?<=span_warning."").*(?="".)","/atom/proc/relaymove(mob/living/user, direction)"
D:\skyrat\Skyrat-tg-master\code\game\atoms.dm,"(?<=span_warning."").*(?="".)",/atom/vv_do_topic(list/href_list)
D:\skyrat\Skyrat-tg-master\code\game\atoms.dm,"(?<=span_notice."").*(?="".)",/atom/vv_do_topic(list/href_list)
D:\skyrat\Skyrat-tg-master\code\game\atoms.dm,"(?<=span_notice."").*(?="".)","/atom/proc/StartProcessingAtom(mob/living/user, obj/item/process_item, list/chosen_option)"
D:\skyrat\Skyrat-tg-master\code\game\atoms.dm,"(?<=span_notice."").*(?="".)","/atom/proc/StartProcessingAtom(mob/living/user, obj/item/process_item, list/chosen_option)"
D:\skyrat\Skyrat-tg-master\code\game\atoms.dm,"(?<=span_warning."").*(?="".)","/atom/proc/multitool_check_buffer(user, obj/item/multitool, silent = FALSE)"
D:\skyrat\Skyrat-tg-master\code\game\atoms_movable.dm,"(?<=span_danger."").*(?="")","/atom/movable/proc/onZImpact(turf/impacted_turf, levels, message = TRUE)"
D:\skyrat\Skyrat-tg-master\code\game\atoms_movable.dm,"(?<=span_warning."").*(?="".)","/atom/movable/proc/can_z_move(direction, turf/start, turf/destination, z_move_flags = ZMOVE_FLIGHT_FLAGS, mob/living/rider)"
D:\skyrat\Skyrat-tg-master\code\game\atoms_movable.dm,"(?<=span_warning."").*(?="".)","/atom/movable/proc/can_z_move(direction, turf/start, turf/destination, z_move_flags = ZMOVE_FLIGHT_FLAGS, mob/living/rider)"
D:\skyrat\Skyrat-tg-master\code\game\atoms_movable.dm,"(?<=span_warning."").*(?="".)","/atom/movable/proc/can_z_move(direction, turf/start, turf/destination, z_move_flags = ZMOVE_FLIGHT_FLAGS, mob/living/rider)"
D:\skyrat\Skyrat-tg-master\code\game\atoms_movable.dm,"(?<=span_warning."").*(?="".)","/atom/movable/proc/can_z_move(direction, turf/start, turf/destination, z_move_flags = ZMOVE_FLIGHT_FLAGS, mob/living/rider)"
D:\skyrat\Skyrat-tg-master\code\game\atoms_movable.dm,"(?<=span_warning."").*(?="".)","/atom/movable/proc/start_pulling(atom/movable/pulled_atom, state, force = move_force, supress_message = FALSE)"
D:\skyrat\Skyrat-tg-master\code\game\atoms_movable.dm,"(?<=span_danger."").*(?="")","/atom/movable/proc/start_pulling(atom/movable/pulled_atom, state, force = move_force, supress_message = FALSE)"
D:\skyrat\Skyrat-tg-master\code\game\atoms_movable.dm,"(?<=span_warning."").*(?="".)","/atom/movable/proc/force_push(atom/movable/pushed_atom, force = move_force, direction, silent = FALSE)"
D:\skyrat\Skyrat-tg-master\code\game\atoms_movable.dm,"(?<=span_danger."").*(?="")","/atom/movable/proc/move_crush(atom/movable/crushed_atom, force = move_force, direction, silent = FALSE)"
D:\skyrat\Skyrat-tg-master\code\game\atoms_movable.dm,"(?<=span_warning."").*(?="".)",/atom/movable/vv_do_topic(list/href_list)
D:\skyrat\Skyrat-tg-master\code\game\atoms_movable.dm,"(?<=span_notice."").*(?="".)",/atom/movable/vv_do_topic(list/href_list)
D:\skyrat\Skyrat-tg-master\code\game\atoms_movable.dm,"(?<=span_notice."").*(?="".)",/atom/movable/vv_do_topic(list/href_list)
D:\skyrat\Skyrat-tg-master\code\game\shuttle_engines.dm,"(?<=span_warning."").*(?="".)","/obj/machinery/power/shuttle_engine/can_be_unfasten_wrench(mob/user, silent)"
D:\skyrat\Skyrat-tg-master\code\game\shuttle_engines.dm,"(?<=span_warning."").*(?="".)","/obj/machinery/power/shuttle_engine/welder_act(mob/living/user, obj/item/tool)"
D:\skyrat\Skyrat-tg-master\code\game\shuttle_engines.dm,"(?<=span_notice."").*(?="".)","/obj/machinery/power/shuttle_engine/welder_act(mob/living/user, obj/item/tool)"
D:\skyrat\Skyrat-tg-master\code\game\shuttle_engines.dm,"(?<=span_notice."").*(?="".)","/obj/machinery/power/shuttle_engine/welder_act(mob/living/user, obj/item/tool)"
D:\skyrat\Skyrat-tg-master\code\game\shuttle_engines.dm,"(?<=span_hear."").*(?="")","/obj/machinery/power/shuttle_engine/welder_act(mob/living/user, obj/item/tool)"
D:\skyrat\Skyrat-tg-master\code\game\shuttle_engines.dm,"(?<=span_notice."").*(?="".)","/obj/machinery/power/shuttle_engine/welder_act(mob/living/user, obj/item/tool)"
