文件路径,正则表达式
D:\skyrat\Skyrat-tg-master\code\modules\admin\admin_investigate.dm,"(?<=span_danger."").*(?="")",/client/proc/investigate_show()
D:\skyrat\Skyrat-tg-master\code\modules\admin\admin_pda_message.dm,"(?<=span_warning."").*(?="".)",/datum/admins/proc/message_pda()
D:\skyrat\Skyrat-tg-master\code\modules\admin\admin_pda_message.dm,"(?<=span_warning."").*(?="".)","/datum/admin_pda_panel/ui_act(action, list/params, datum/tgui/ui, datum/ui_state/state)"
D:\skyrat\Skyrat-tg-master\code\modules\admin\admin_verbs.dm,"(?<=span_warning."").*(?="".)",/client/proc/give_spell(mob/spell_recipient in GLOB.mob_list)
D:\skyrat\Skyrat-tg-master\code\modules\admin\admin_verbs.dm,"(?<=span_warning."").*(?="".)",/client/proc/give_spell(mob/spell_recipient in GLOB.mob_list)
D:\skyrat\Skyrat-tg-master\code\modules\admin\admin_verbs.dm,"(?<=span_notice."").*(?="".)",/client/proc/give_disease(mob/living/T in GLOB.mob_living_list)
D:\skyrat\Skyrat-tg-master\code\modules\admin\check_antagonists.dm,"(?<=span_userdanger."").*(?="")",/datum/admins/proc/check_antagonists()
D:\skyrat\Skyrat-tg-master\code\modules\admin\fun_balloon.dm,"(?<=span_notice."").*(?="".)",/obj/effect/fun_balloon/proc/pop()
D:\skyrat\Skyrat-tg-master\code\modules\admin\fun_balloon.dm,"(?<=span_notice."").*(?="".)",/obj/effect/fun_balloon/scatter/effect()
D:\skyrat\Skyrat-tg-master\code\modules\admin\known_alts.dm,"(?<=span_warning."").*(?="".)","/datum/known_alts/Topic(href, list/href_list)"
D:\skyrat\Skyrat-tg-master\code\modules\admin\known_alts.dm,"(?<=span_warning."").*(?="".)",/datum/known_alts/proc/show_panel(client/client)
D:\skyrat\Skyrat-tg-master\code\modules\admin\outfits.dm,"(?<=span_notice."").*(?="".)","/datum/admins/proc/delete_outfit(mob/admin, datum/outfit/O)"
D:\skyrat\Skyrat-tg-master\code\modules\admin\outfits.dm,"(?<=span_warning."").*(?="".)",/datum/admins/proc/load_outfit(mob/admin)
D:\skyrat\Skyrat-tg-master\code\modules\admin\outfits.dm,"(?<=span_warning."").*(?="".)",/datum/admins/proc/load_outfit(mob/admin)
D:\skyrat\Skyrat-tg-master\code\modules\admin\outfits.dm,"(?<=span_warning."").*(?="".)",/datum/admins/proc/load_outfit(mob/admin)
D:\skyrat\Skyrat-tg-master\code\modules\admin\outfit_editor.dm,"(?<=span_warning."").*(?="".)",/datum/outfit_editor/proc/choose_item(slot)
D:\skyrat\Skyrat-tg-master\code\modules\admin\painting_manager.dm,"(?<=span_notice."").*(?="".)","/datum/paintings_manager/ui_act(action, list/params, datum/tgui/ui, datum/ui_state/state)"
D:\skyrat\Skyrat-tg-master\code\modules\admin\permissionedit.dm,"(?<=span_danger."").*(?="")",/datum/admins/proc/edit_rights_topic(list/href_list)
D:\skyrat\Skyrat-tg-master\code\modules\admin\permissionedit.dm,"(?<=span_danger."").*(?="")","/datum/admins/proc/add_admin(admin_ckey, admin_key, use_db)"
D:\skyrat\Skyrat-tg-master\code\modules\admin\permissionedit.dm,"(?<=span_danger."").*(?="")","/datum/admins/proc/add_admin(admin_ckey, admin_key, use_db)"
D:\skyrat\Skyrat-tg-master\code\modules\admin\permissionedit.dm,"(?<=span_danger."").*(?="")",/datum/admins/proc/remove_rank(admin_rank)
D:\skyrat\Skyrat-tg-master\code\modules\admin\poll_management.dm,"(?<=span_danger."").*(?="")","/datum/admins/proc/poll_parse_href(list/href_list, datum/poll_question/poll)"
D:\skyrat\Skyrat-tg-master\code\modules\admin\poll_management.dm,"(?<=span_danger."").*(?="")","/datum/admins/proc/poll_parse_href(list/href_list, datum/poll_question/poll)"
D:\skyrat\Skyrat-tg-master\code\modules\admin\poll_management.dm,"(?<=span_danger."").*(?="")","/datum/admins/proc/poll_parse_href(list/href_list, datum/poll_question/poll)"
D:\skyrat\Skyrat-tg-master\code\modules\admin\poll_management.dm,"(?<=span_danger."").*(?="")",/datum/poll_question/proc/delete_poll()
D:\skyrat\Skyrat-tg-master\code\modules\admin\poll_management.dm,"(?<=span_danger."").*(?="")",/datum/poll_question/proc/save_poll_data(clear_votes)
D:\skyrat\Skyrat-tg-master\code\modules\admin\poll_management.dm,"(?<=span_danger."").*(?="")",/datum/poll_question/proc/save_all_options()
D:\skyrat\Skyrat-tg-master\code\modules\admin\poll_management.dm,"(?<=span_danger."").*(?="")",/datum/poll_question/proc/clear_poll_votes()
D:\skyrat\Skyrat-tg-master\code\modules\admin\poll_management.dm,"(?<=span_danger."").*(?="")",/datum/poll_question/proc/clear_poll_votes()
D:\skyrat\Skyrat-tg-master\code\modules\admin\poll_management.dm,"(?<=span_danger."").*(?="")","/datum/admins/proc/poll_option_parse_href(list/href_list, datum/poll_question/poll, datum/poll_option/option)"
D:\skyrat\Skyrat-tg-master\code\modules\admin\poll_management.dm,"(?<=span_danger."").*(?="")","/datum/admins/proc/poll_option_parse_href(list/href_list, datum/poll_question/poll, datum/poll_option/option)"
D:\skyrat\Skyrat-tg-master\code\modules\admin\poll_management.dm,"(?<=span_danger."").*(?="")","/datum/admins/proc/poll_option_parse_href(list/href_list, datum/poll_question/poll, datum/poll_option/option)"
D:\skyrat\Skyrat-tg-master\code\modules\admin\poll_management.dm,"(?<=span_danger."").*(?="")",/datum/poll_option/proc/save_option()
D:\skyrat\Skyrat-tg-master\code\modules\admin\poll_management.dm,"(?<=span_danger."").*(?="")",/datum/poll_option/proc/delete_option()
D:\skyrat\Skyrat-tg-master\code\modules\admin\poll_management.dm,"(?<=span_danger."").*(?="")",/proc/load_poll_data()
D:\skyrat\Skyrat-tg-master\code\modules\admin\sound_emitter.dm,"(?<=span_boldnotice."").*(?="")",/obj/effect/sound_emitter/examine(mob/user)
D:\skyrat\Skyrat-tg-master\code\modules\admin\sound_emitter.dm,"(?<=span_boldnotice."").*(?="")",/obj/effect/sound_emitter/examine(mob/user)
D:\skyrat\Skyrat-tg-master\code\modules\admin\sound_emitter.dm,"(?<=span_boldnotice."").*(?="")",/obj/effect/sound_emitter/examine(mob/user)
D:\skyrat\Skyrat-tg-master\code\modules\admin\sound_emitter.dm,"(?<=span_notice."").*(?="".)",/obj/effect/sound_emitter/AltClick(mob/user)
D:\skyrat\Skyrat-tg-master\code\modules\admin\sound_emitter.dm,"(?<=span_notice."").*(?="".)","/obj/effect/sound_emitter/Topic(href, href_list)"
D:\skyrat\Skyrat-tg-master\code\modules\admin\sound_emitter.dm,"(?<=span_notice."").*(?="".)","/obj/effect/sound_emitter/Topic(href, href_list)"
