文件路径,正则表达式
D:\skyrat\Skyrat-tg-master\code\modules\mafia\controller.dm,"(?<=span_notice."").*(?="".)",/datum/mafia_controller/proc/start_day()
D:\skyrat\Skyrat-tg-master\code\modules\mafia\controller.dm,"(?<=span_danger."").*(?="")",/datum/mafia_controller/proc/resolve_night()
D:\skyrat\Skyrat-tg-master\code\modules\mafia\controller.dm,"(?<=span_danger."").*(?="")",/datum/mafia_controller/proc/resolve_night()
D:\skyrat\Skyrat-tg-master\code\modules\mafia\controller.dm,"(?<=span_userdanger."").*(?="")",/datum/mafia_controller/proc/resolve_night()
D:\skyrat\Skyrat-tg-master\code\modules\mafia\controller.dm,"(?<=span_notice."").*(?="".)","/datum/mafia_controller/proc/vote_for(datum/mafia_role/voter,datum/mafia_role/target,vote_type, teams)"
D:\skyrat\Skyrat-tg-master\code\modules\mafia\controller.dm,"(?<=span_notice."").*(?="".)","/datum/mafia_controller/proc/vote_for(datum/mafia_role/voter,datum/mafia_role/target,vote_type, teams)"
D:\skyrat\Skyrat-tg-master\code\modules\mafia\controller.dm,"(?<=span_warning."").*(?="".)","/datum/mafia_controller/ui_act(action, list/params, datum/tgui/ui, datum/ui_state/state)"
D:\skyrat\Skyrat-tg-master\code\modules\mafia\controller.dm,"(?<=span_notice."").*(?="".)","/datum/mafia_controller/ui_act(action, list/params, datum/tgui/ui, datum/ui_state/state)"
D:\skyrat\Skyrat-tg-master\code\modules\mafia\controller.dm,"(?<=span_notice."").*(?="".)","/datum/mafia_controller/ui_act(action, list/params, datum/tgui/ui, datum/ui_state/state)"
D:\skyrat\Skyrat-tg-master\code\modules\mafia\controller.dm,"(?<=span_notice."").*(?="".)","/datum/mafia_controller/ui_act(action, list/params, datum/tgui/ui, datum/ui_state/state)"
D:\skyrat\Skyrat-tg-master\code\modules\mafia\controller.dm,"(?<=span_notice."").*(?="".)","/datum/mafia_controller/ui_act(action, list/params, datum/tgui/ui, datum/ui_state/state)"
D:\skyrat\Skyrat-tg-master\code\modules\mafia\controller.dm,"(?<=span_danger."").*(?="")",/datum/mafia_controller/proc/basic_setup()
D:\skyrat\Skyrat-tg-master\code\modules\mafia\controller.dm,"(?<=span_warning."").*(?="".)",/datum/mafia_controller/proc/basic_setup()
D:\skyrat\Skyrat-tg-master\code\modules\mafia\roles.dm,"(?<=span_danger."").*(?="")","/datum/mafia_role/proc/can_action(datum/mafia_controller/game, datum/mafia_role/visitor, action)"
D:\skyrat\Skyrat-tg-master\code\modules\mafia\roles.dm,"(?<=span_danger."").*(?="")","/datum/mafia_role/proc/can_action(datum/mafia_controller/game, datum/mafia_role/visitor, action)"
D:\skyrat\Skyrat-tg-master\code\modules\mafia\roles.dm,"(?<=span_danger."").*(?="")","/datum/mafia_role/proc/can_action(datum/mafia_controller/game, datum/mafia_role/visitor, action)"
D:\skyrat\Skyrat-tg-master\code\modules\mafia\roles.dm,"(?<=span_danger."").*(?="")",/datum/mafia_role/proc/greet()
D:\skyrat\Skyrat-tg-master\code\modules\mafia\roles.dm,"(?<=span_danger."").*(?="")",/datum/mafia_role/proc/greet()
D:\skyrat\Skyrat-tg-master\code\modules\mafia\roles.dm,"(?<=span_danger."").*(?="")",/datum/mafia_role/proc/greet()
D:\skyrat\Skyrat-tg-master\code\modules\mafia\roles.dm,"(?<=span_danger."").*(?="")",/datum/mafia_role/proc/greet()
D:\skyrat\Skyrat-tg-master\code\modules\mafia\roles.dm,"(?<=span_danger."").*(?="")",/datum/mafia_role/proc/greet()
D:\skyrat\Skyrat-tg-master\code\modules\mafia\roles.dm,"(?<=span_notice."").*(?="".)",/datum/mafia_role/proc/show_help(clueless)
D:\skyrat\Skyrat-tg-master\code\modules\mafia\roles.dm,"(?<=span_notice."").*(?="".)",/datum/mafia_role/proc/show_help(clueless)
