文件路径,正则表达式
D:\skyrat\Skyrat-tg-master\code\game\objects\structures\ai_core.dm,"(?<=name = "".improper ).*(?="")",/obj/structure/ai_core
D:\skyrat\Skyrat-tg-master\code\game\objects\structures\ai_core.dm,"(?<=desc = "").*(?="")",/obj/structure/ai_core
D:\skyrat\Skyrat-tg-master\code\game\objects\structures\ai_core.dm,"(?<=name = "").*(?="")",/obj/structure/ai_core/latejoin_inactive
D:\skyrat\Skyrat-tg-master\code\game\objects\structures\ai_core.dm,"(?<=desc = "").*(?="")",/obj/structure/ai_core/latejoin_inactive
D:\skyrat\Skyrat-tg-master\code\game\objects\structures\ai_core.dm,"(?<=name = "").*(?="")",/obj/item/circuitboard/aicore
D:\skyrat\Skyrat-tg-master\code\game\objects\structures\aliens.dm,"(?<=name = "").*(?="")",/obj/structure/alien/gelpod
D:\skyrat\Skyrat-tg-master\code\game\objects\structures\aliens.dm,"(?<=desc = "").*(?="")",/obj/structure/alien/gelpod
D:\skyrat\Skyrat-tg-master\code\game\objects\structures\aliens.dm,"(?<=name = "").*(?="")",/obj/structure/alien/resin
D:\skyrat\Skyrat-tg-master\code\game\objects\structures\aliens.dm,"(?<=desc = "").*(?="")",/obj/structure/alien/resin
D:\skyrat\Skyrat-tg-master\code\game\objects\structures\aliens.dm,"(?<=name = "").*(?="")",/obj/structure/alien/resin/wall
D:\skyrat\Skyrat-tg-master\code\game\objects\structures\aliens.dm,"(?<=desc = "").*(?="")",/obj/structure/alien/resin/wall
D:\skyrat\Skyrat-tg-master\code\game\objects\structures\aliens.dm,"(?<=desc = "").*(?="")",/obj/structure/alien/resin/wall/immovable
D:\skyrat\Skyrat-tg-master\code\game\objects\structures\aliens.dm,"(?<=name = "").*(?="")",/obj/structure/alien/resin/wall/creature
D:\skyrat\Skyrat-tg-master\code\game\objects\structures\aliens.dm,"(?<=desc = "").*(?="")",/obj/structure/alien/resin/wall/creature
D:\skyrat\Skyrat-tg-master\code\game\objects\structures\aliens.dm,"(?<=name = "").*(?="")",/obj/structure/alien/resin/membrane
D:\skyrat\Skyrat-tg-master\code\game\objects\structures\aliens.dm,"(?<=desc = "").*(?="")",/obj/structure/alien/resin/membrane
D:\skyrat\Skyrat-tg-master\code\game\objects\structures\aliens.dm,"(?<=name = "").*(?="")",/obj/structure/alien/resin/membrane/creature
D:\skyrat\Skyrat-tg-master\code\game\objects\structures\aliens.dm,"(?<=desc = "").*(?="")",/obj/structure/alien/resin/membrane/creature
D:\skyrat\Skyrat-tg-master\code\game\objects\structures\aliens.dm,"(?<=name = "").*(?="")",/obj/structure/alien/weeds
D:\skyrat\Skyrat-tg-master\code\game\objects\structures\aliens.dm,"(?<=desc = "").*(?="")",/obj/structure/alien/weeds
D:\skyrat\Skyrat-tg-master\code\game\objects\structures\aliens.dm,"(?<=name = "").*(?="")",/obj/structure/alien/weeds/node
D:\skyrat\Skyrat-tg-master\code\game\objects\structures\aliens.dm,"(?<=desc = "").*(?="")",/obj/structure/alien/weeds/node
D:\skyrat\Skyrat-tg-master\code\game\objects\structures\aliens.dm,"(?<=name = "").*(?="")",/obj/structure/alien/weeds/creature
D:\skyrat\Skyrat-tg-master\code\game\objects\structures\aliens.dm,"(?<=desc = "").*(?="")",/obj/structure/alien/weeds/creature
D:\skyrat\Skyrat-tg-master\code\game\objects\structures\aliens.dm,"(?<=name = "").*(?="")",/obj/structure/alien/egg
D:\skyrat\Skyrat-tg-master\code\game\objects\structures\aliens.dm,"(?<=desc = "").*(?="")",/obj/structure/alien/egg
D:\skyrat\Skyrat-tg-master\code\game\objects\structures\barsigns.dm,"(?<=name = "").*(?="")","/obj/structure/sign/barsign // All Signs are 64 by 32 pixels, they take two tiles"
D:\skyrat\Skyrat-tg-master\code\game\objects\structures\barsigns.dm,"(?<=desc = "").*(?="")","/obj/structure/sign/barsign // All Signs are 64 by 32 pixels, they take two tiles"
D:\skyrat\Skyrat-tg-master\code\game\objects\structures\barsigns.dm,"(?<=name = "").*(?="")",/obj/structure/sign/barsign/proc/set_sign(datum/barsign/sign)
D:\skyrat\Skyrat-tg-master\code\game\objects\structures\barsigns.dm,"(?<=name = "").*(?="")",/obj/structure/sign/barsign/proc/set_sign(datum/barsign/sign)
D:\skyrat\Skyrat-tg-master\code\game\objects\structures\barsigns.dm,"(?<=desc = "").*(?="")",/datum/barsign/New()
D:\skyrat\Skyrat-tg-master\code\game\objects\structures\barsigns.dm,"(?<=name = "").*(?="")",/datum/barsign/maltesefalcon
D:\skyrat\Skyrat-tg-master\code\game\objects\structures\barsigns.dm,"(?<=desc = "").*(?="")",/datum/barsign/maltesefalcon
D:\skyrat\Skyrat-tg-master\code\game\objects\structures\barsigns.dm,"(?<=name = "").*(?="")",/datum/barsign/thebark
D:\skyrat\Skyrat-tg-master\code\game\objects\structures\barsigns.dm,"(?<=desc = "").*(?="")",/datum/barsign/thebark
D:\skyrat\Skyrat-tg-master\code\game\objects\structures\barsigns.dm,"(?<=name = "").*(?="")",/datum/barsign/harmbaton
D:\skyrat\Skyrat-tg-master\code\game\objects\structures\barsigns.dm,"(?<=desc = "").*(?="")",/datum/barsign/harmbaton
D:\skyrat\Skyrat-tg-master\code\game\objects\structures\barsigns.dm,"(?<=name = "").*(?="")",/datum/barsign/thesingulo
D:\skyrat\Skyrat-tg-master\code\game\objects\structures\barsigns.dm,"(?<=desc = "").*(?="")",/datum/barsign/thesingulo
D:\skyrat\Skyrat-tg-master\code\game\objects\structures\barsigns.dm,"(?<=name = "").*(?="")",/datum/barsign/thedrunkcarp
D:\skyrat\Skyrat-tg-master\code\game\objects\structures\barsigns.dm,"(?<=desc = "").*(?="")",/datum/barsign/thedrunkcarp
D:\skyrat\Skyrat-tg-master\code\game\objects\structures\barsigns.dm,"(?<=name = "").*(?="")",/datum/barsign/scotchservinwill
D:\skyrat\Skyrat-tg-master\code\game\objects\structures\barsigns.dm,"(?<=desc = "").*(?="")",/datum/barsign/scotchservinwill
D:\skyrat\Skyrat-tg-master\code\game\objects\structures\barsigns.dm,"(?<=name = "").*(?="")",/datum/barsign/officerbeersky
D:\skyrat\Skyrat-tg-master\code\game\objects\structures\barsigns.dm,"(?<=desc = "").*(?="")",/datum/barsign/officerbeersky
D:\skyrat\Skyrat-tg-master\code\game\objects\structures\barsigns.dm,"(?<=name = "").*(?="")",/datum/barsign/thecavern
D:\skyrat\Skyrat-tg-master\code\game\objects\structures\barsigns.dm,"(?<=desc = "").*(?="")",/datum/barsign/thecavern
D:\skyrat\Skyrat-tg-master\code\game\objects\structures\barsigns.dm,"(?<=name = "").*(?="")",/datum/barsign/theouterspess
D:\skyrat\Skyrat-tg-master\code\game\objects\structures\barsigns.dm,"(?<=desc = "").*(?="")",/datum/barsign/theouterspess
D:\skyrat\Skyrat-tg-master\code\game\objects\structures\barsigns.dm,"(?<=name = "").*(?="")",/datum/barsign/slipperyshots
D:\skyrat\Skyrat-tg-master\code\game\objects\structures\barsigns.dm,"(?<=desc = "").*(?="")",/datum/barsign/slipperyshots
D:\skyrat\Skyrat-tg-master\code\game\objects\structures\barsigns.dm,"(?<=name = "").*(?="")",/datum/barsign/thegreytide
D:\skyrat\Skyrat-tg-master\code\game\objects\structures\barsigns.dm,"(?<=desc = "").*(?="")",/datum/barsign/thegreytide
D:\skyrat\Skyrat-tg-master\code\game\objects\structures\barsigns.dm,"(?<=name = "").*(?="")",/datum/barsign/honkednloaded
D:\skyrat\Skyrat-tg-master\code\game\objects\structures\barsigns.dm,"(?<=desc = "").*(?="")",/datum/barsign/honkednloaded
D:\skyrat\Skyrat-tg-master\code\game\objects\structures\barsigns.dm,"(?<=name = "").*(?="")",/datum/barsign/thenest
D:\skyrat\Skyrat-tg-master\code\game\objects\structures\barsigns.dm,"(?<=desc = "").*(?="")",/datum/barsign/thenest
D:\skyrat\Skyrat-tg-master\code\game\objects\structures\barsigns.dm,"(?<=name = "").*(?="")",/datum/barsign/thecoderbus
D:\skyrat\Skyrat-tg-master\code\game\objects\structures\barsigns.dm,"(?<=desc = "").*(?="")",/datum/barsign/thecoderbus
D:\skyrat\Skyrat-tg-master\code\game\objects\structures\barsigns.dm,"(?<=name = "").*(?="")",/datum/barsign/theadminbus
