索引,文本内容,翻译内容
0,AI 核心,
1,The framework for an artificial intelligence core.,
2,networked AI core,
3,"This AI core is connected by bluespace transmitters to NTNet, allowing for an AI personality to be downloaded to it on the fly mid-shift.",
4,AI core (AI Core Board),
5,gelatinous mound,
6,A mound of jelly-like substance encasing something inside.,
7,resin,
8,Looks like some kind of thick resin.,
9,resin wall,
10,Thick resin solidified into a wall.,
11,Dense resin solidified into a wall.,
12,gelatinous wall,
13,Thick material shaped into a wall. Yuck.,
14,resin membrane,
15,Resin just thin enough to let light pass through.,
16,gelatinous membrane,
17,"A strange combination of thin, gelatinous material.",
18,resin floor,
19,A thick resin surface covers the floor.,
20,glowing resin,
21,Blue bioluminescence shines from beneath the surface.,
22,gelatinous floor,
23,A thick gelatinous surface covers the floor.  Someone get the galoshes.,
24,egg,
25,A large mottled egg.,
26,bar sign,
27,"A bar sign which has not been initialized, somehow. Complain at a coder!",
28,[initial(name)] ([sign.name]),
29,[initial(name)],
30,"It displays \""[name]\"".",
31,Maltese Falcon,
32,"The Maltese Falcon, Space Bar and Grill.",
33,The Bark,
34,Ian's bar of choice.,
35,The Harmbaton,
36,A great dining experience for both security members and assistants.,
37,The Singulo,
38,Where people go that'd rather not be called by their name.,
39,The Drunk Carp,
40,Don't drink and swim.,
41,Scotch Servin Willy's,
42,Willy sure moved up in the world from clown to bartender.,
43,Officer Beersky's,
44,"Man eat a dong, these drinks are great.",
45,The Cavern,
46,Fine drinks while listening to some fine tunes.,
47,The Outer Spess,
48,This bar isn't actually located in outer space.,
49,Slippery Shots,
50,Slippery slope to drunkeness with our shots!,
51,The Grey Tide,
52,Abandon your toolboxing ways and enjoy a lazy beer!,
53,Honked 'n' Loaded,
54,Honk.,
55,The Nest,
56,A good place to retire for a drink after a long night of crime fighting.,
57,The Coderbus,
58,A very controversial bar known for its wide variety of constantly-changing drinks.,
59,The Adminbus,
60,An establishment visited mainly by space-judges. It isn't bombed nearly as much as court hearings.,
61,The Old Cock Inn,
62,Something about this sign fills you with despair.,
63,The Wretched Hive,
64,Legally obligated to instruct you to check your drinks for acid before consumption.,
65,The Robusta Cafe,
66,Holder of the 'Most Lethal Barfights' record 5 years uncontested.,
67,The Emergency Rum Party,
68,Recently relicensed after a long closure.,
69,The Combo Cafe,
70,Renowned system-wide for their utterly uncreative drink combinations.,
71,Vlad's Salad Bar,
72,Under new management. Vlad was always a bit too trigger happy with that shotgun.,
73,The Shaken,
74,This establishment does not serve stirred drinks.,
75,The Ale' Nath,
76,"All right, buddy. I think you've had EI NATH. Time to get a cab.",
77,The Aloha Snackbar,
78,"A tasteful, inoffensive tiki bar sign.",
79,The Net,
80,You just seem to get caught up in it for hours.,
81,Maid Cafe,
82,"Welcome back, master!",
83,The Lightbulb,
84,A cafe popular among moths and moffs. Once shut down for a week after the bartender used mothballs to protect her spare uniforms.,
85,The Loose Goose,
86,Drink till you puke and/or break the laws of reality!,
87,EMP'd,
88,Something has gone very wrong.,
89,Syndi Cat,
90,Syndicate or die.,
91,Off,
92,This sign doesn't seem to be on.,
93,bedsheet,
94,A surprisingly soft linen bedsheet.,
95,patriotic bedsheet,
96,You've never felt more free than when sleeping on this.,
97,rainbow bedsheet,
98,A multicolored blanket. It's actually several different sheets cut up and sewn together.,
99,mime's blanket,
100,A very soothing striped blanket.  All the noise just seems to fade out when you're under the covers in this.,
101,clown's blanket,
102,A rainbow blanket with a clown mask woven in. It smells faintly of bananas.,
103,captain's bedsheet,
104,"It has a Nanotrasen symbol on it, and was woven with a revolutionary new kind of thread guaranteed to have 0.01% permeability for most non-chemical substances, popular among most modern captains.",
105,research director's bedsheet,
106,"It appears to have a beaker emblem, and is made out of fire-resistant material, although it probably won't protect you in the event of fires you're familiar with every day.",
107,Royal Cape of the Liberator,
108,Majestic.,
109,medical blanket,
110,It's a sterilized* blanket commonly used in the Medbay.  *Sterilization is voided if a virologist is present onboard the station.,
111,chief medical officer's bedsheet,
112,"It's a sterilized blanket that has a cross emblem. There's some cat fur on it, likely from Runtime.",
113,head of security's bedsheet,
114,"It is decorated with a shield emblem. While crime doesn't sleep, you do, but you are still THE LAW!",
115,head of personnel's bedsheet,
116,It is decorated with a key emblem. For those rare moments when you can rest and cuddle with Ian without someone screaming for you over the radio.,
117,chief engineer's bedsheet,
118,"It is decorated with a wrench emblem. It's highly reflective and stain resistant, so you don't need to worry about ruining it with oil.",
119,quartermaster's bedsheet,
120,"It is decorated with a crate emblem in silver lining.  It's rather tough, and just the thing to lie on after a hard day of pushing paper.",
121,chaplain's blanket,
122,"A blanket woven with the hearts of gods themselves... Wait, that's just linen.",
123,CentCom bedsheet,
124,"Woven with advanced nanothread for warmth as well as being very decorated, essential for all officials.",
125,syndicate bedsheet,
126,It has a syndicate emblem and it has an aura of evil.,
127,cultist's bedsheet,
128,You might dream of Nar'Sie if you sleep with this. It seems rather tattered and glows of an eldritch presence.,
129,wizard's bedsheet,
