﻿索引,文本内容,翻译内容
0,airlock painter,气闸涂手
1,An advanced autopainter preprogrammed with several paintjobs for airlocks. Use it on an airlock during or after construction to change the paintjob. Alt-Click to remove the ink cartridge.,先进的自动喷漆器，预制了几种气闸的喷漆样式，当建造时气闸时或完成建造后在气闸上使用来改变喷漆样式，Alt+点击来取出墨盒。
2,decal painter,气闸涂手+
3,"An airlock painter, reprogramed to use a different style of paint in order to apply decals for floor tiles as well, in addition to repainting doors. Decals break when the floor tiles are removed. Alt-Click to remove the ink cartridge.",气闸涂手，进行了重编程使之除了可以在气闸上面喷涂以外，也同样可以在地板上喷出图案来，拆除地板时图案会消失，Alt+点击来取出墨盒
4,floor_decals,
5,extreme decal painter,终极气闸涂手
6,tile sprayer,地板涂手
7,"An airlock painter, reprogramed to use a different style of paint in order to spray colors on floor tiles as well, in addition to repainting doors. Decals break when the floor tiles are removed. Alt-Click to change design.",气闸涂手，进行了重编程使之除了可以在气闸上面喷涂以外，也同样可以在地板上喷出不同颜色的图案，拆除地板时图案会消失，Alt+点击来更换设计
8,floor_tile_decals,
9,APC frame,APC框架
10,Used for repairing or building APCs.,用于维修或建造APC
11,binoculars,望远镜
12,Used for long-distance surveillance.,用于远距离的监视
13,area modification item,区域修改项
14,station blueprints,站点蓝图
15,"Blueprints of the station. There is a \""Classified\"" stamp and several coffee stains on it.","空间站的蓝图，上面有一个 \""机密\"" 印章和一些咖啡渍"
16,[A.name],
17,station schematics,空间站投影图
18,A digital copy of the station blueprints stored in your memory.,存储在你内存中的数字版站点蓝图
19,[A.name],
20,body bag,尸体袋
21,A folded bag designed for the storage and transportation of cadavers.,一个折叠好的袋子，为运输和存储尸体而打造
22,bluespace body bag,蓝空尸体袋
23,A folded bluespace body bag designed for the storage and transportation of cadavers.,一个折叠好的袋子，为运输和存储大量尸体而打造
24,environmental protection bag,环境保护袋
25,"A folded, reinforced bag designed to protect against exoplanetary environmental storms.",一个折叠好的加固袋子，为了抵抗外星球的环境风暴而打造
26,elite environmental protection bag,精英环境保护袋
27,"A folded, heavily reinforced, and insulated bag, capable of fully isolating its contents from external factors.",一个折叠好的重型绝缘加固袋子，能够将其内容物与外环境完全隔离
28,prisoner transport bag,囚犯运输袋
29,"Intended for transport of prisoners through hazardous environments, this folded environmental protection bag comes with straps to keep an occupant secure.",用于在危险环境中运送囚犯，这款折叠的环境保护袋拥有绑带来固定其乘员
30,pressurized prisoner transport bag,加压型囚犯运输袋
31,syndicate prisoner transport bag,辛迪加囚犯运输袋
32,"An alteration of Nanotrasen's environmental protection bag which has been used in several high-profile kidnappings. Designed to keep a victim unconscious, alive, and secured until they are transported to a required location.",纳米传讯的环境保护袋的改良版，用于多起高调绑架案，旨在让其受害者保持昏迷，活着和固定，直到被运输至所需位置
33,body egg,尸体蛋
34,All slimy and yuck.,黏糊又恶心
35,mixed bouquet,混装花束
36,"A bouquet of sunflowers, lilies, and geraniums. How delightful.",一束向日葵，百合和天竺葵。令人欣快
37,sunflower bouquet,向日葵花束
38,A bright bouquet of sunflowers.,一束明亮的向日葵
39,poppy bouquet,罂粟花束
40,A bouquet of poppies. You feel loved just looking at it.,一束罂粟花，你光是看着就感觉被爱着
41,rose bouquet,玫瑰花束 
42,A bouquet of roses. A bundle of love.,一束玫瑰，一束深情
43,boxcutter,切箱器
44,"A tool for cutting boxes, or throats.",用于切割箱子或者喉咙的工具
45,push broom,长柄扫帚
46,This is my BROOMSTICK! It can be used manually or braced with two hands to sweep items as you move. It has a telescopic handle for compact storage.,这就是我的飞天扫帚！它可以被手动使用或者用两只手撑起，在你移动时清扫物品，他有个伸缩把手用于紧凑存储
47,cyborg push broom,赛博格长柄扫帚
48,red candle,红蜡烛
49,cardboard cutout,纸板模型
50,A vaguely humanoid cardboard cutout. It's completely blank.,一个大概的人形纸板模型，他是空白的
51,[initial(desc)] It's been pushed over.,[initial(desc)] 它已经被推倒了
52,[pick(GLOB.first_names_male)] [pick(GLOB.last_names)],
53,A cardboat cutout of an assistant.,一个助手的纸板模型
54,A cardboard cutout of a clown. You get the feeling that it should be in a corner.,一个小丑的纸板模型，你觉得这个应该放置在角落里
55,...(A cardboard cutout of a mime.),...（一个哑剧的纸板模型）
56,"[pick(""Unknown"", ""Captain"")]",
57,A cardboard cutout of a traitor.,一个叛徒的纸板模型
58,"[pick(""Unknown"", ""COMMS"", ""Telecomms"", ""AI"", ""stealthy op"", ""STEALTH"", ""sneakybeaky"", ""MEDIC"", ""Medic"")]",
59,A cardboard cutout of a nuclear operative.,一个核行动的纸板模型
60,Unknown,未知
61,A cardboard cutout of a cultist.,一个邪教徒的纸板模型
62,[pick(GLOB.first_names_male)] [pick(GLOB.last_names)],
63,A cardboard cutout of a servant of Ratvar.,一个鼠王的仆人的纸板模型
64,Unknown,未知
65,A cardboard cutout of a revolutionary.,一个革命的纸板模型
66,"[pick(GLOB.wizard_first)], [pick(GLOB.wizard_second)]",
67,A cardboard cutout of a wizard.,一个巫师的纸板模型
68,[pick(GLOB.nightmare_names)],
